Rank,Movie Title,Year,Score,Director,Cast,Critics Consensus
14,Rocks,2019,97,Sarah Gavron,"Bukky Bakray, Ruby Stokes, Sarah Niles, Layo-Christina Akinlude","A fresh, funny coming-of-age story rooted in realistic characters and anchored with a meaningful message, Rocks is as solid as its title suggests."
15,Roma,2018,96,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Marco Graf, Fernando Grediaga","Roma finds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career."
16,Atlantics,2019,96,Mati Diop,"Abdou Balde, Aminata Kane, Ibrahima Mbaye, Amadou Mbow","An unpredictable supernatural drama rooted in real-world social commentary, Atlantique suggests a thrillingly bright future for debuting filmmaker Mati Diop."
17,Psycho,1960,96,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","Infamous for its shower scene, but immortal for its contribution to the horror genre. Because Psycho was filmed with tact, grace, and art, Hitchcock didn't just create modern horror, he validated it."
18,To All the Boys I've Loved Before,2018,96,Susan Johnson,"Lana Condor, John Corbett, Noah Centineo, Emilija Baranac","To All the Boys I've Loved Before plays by the teen rom-com rules, but relatable characters and a thoroughly charming cast more than make up for a lack of surprises."
19,Life of Brian,1979,96,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Terry Jones","One of the more cutting-edge films of the 1970s, this religious farce from the classic comedy troupe is as poignant as it is funny and satirical."
20,Outside In,2017,96,Lynn Shelton,"Jay Duplass, Edie Falco, Kaitlyn Dever, Ben Schwartz","Brilliantly brought to life by tenderly empathetic performances from Jay Duplass and Edie Falco, Outside In tells a sobering -- yet thoroughly absorbing -- story."
21,The Irishman,2019,95,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Anna Paquin","An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect."
22,Marriage Story,2019,95,Noah Baumbach,"Scarlett Johansson, Adam Driver, Azhy Robertson, Laura Dern","Observing a splintering union with compassion and expansive grace, the powerfully acted Marriage Story ranks among writer-director Noah Baumbach's best works."
23,It Follows,2014,95,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Daniel Zovatto, Jake Weary","Smart, original, and above all terrifying, It Follows is the rare modern horror film that works on multiple levels -- and leaves a lingering sting."
24,The Lord of the Rings: The Two Towers,2002,95,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen","The Two Towers balances spectacular action with emotional storytelling, leaving audiences both wholly satisfied and eager for the final chapter."
25,Klaus,2019,95,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso","Beautiful hand-drawn animation and a humorous, heartwarming narrative make Klaus an instant candidate for holiday classic status."
26,Croupier,1998,95,Mike Hodges,"Clive Owen, Kate Hardie, Alex Kingston, Gina McKee","The writer slumming for human truths and real experience is a common enough story, but this cool-headed and slick thriller provides a gut-churningly compelling backdrop to a look at our darker sides."
27,Call Me by Your Name,2017,94,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar","Call Me by Your Name offers a melancholy, powerfully affecting portrait of first love, empathetically acted by Timothée Chalamet and Armie Hammer."
28,The Power of the Dog,2021,94,Jane Campion,"Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee","Brought to life by a stellar ensemble led by Benedict Cumberbatch, The Power of the Dog reaffirms writer-director Jane Campion as one of her generation's finest filmmakers."
29,Carol,2015,94,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Jake Lacy","Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara, Carol lives up to its groundbreaking source material."
30,Moneyball,2011,94,Bennett Miller,"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright","Director Bennett Miller, along with Brad Pitt and Jonah Hill, take a niche subject and turn it into a sharp, funny, and touching portrait worthy of baseball lore."
31,The Lost Daughter,2021,94,Maggie Gyllenhaal,"Olivia Colman, Dakota Johnson, Peter Sarsgaard, Jessie Buckley","A strikingly assured debut for writer-director Maggie Gyllenhaal, The Lost Daughter unites a brilliant cast in service of a daringly ambitious story."
32,The Sea Beast,2022,94,Chris Williams,"Karl Urban, Zaris-Angel Hator, Jared Harris, Dan Stevens","An original animated tale that's often as daring as its characters, The Sea Beast sends audiences on a voyage well worth taking."
33,Private Life,2018,94,Tamara Jenkins,"Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon",Private Life uses one couple's bumpy journey to take an affecting look at an easily identifiable - and too rarely dramatized - rite of adult passage.
34,Enola Holmes 2,2022,94,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Helena Bonham Carter, David Thewlis","Building on its predecessor with boisterously entertaining flair, Enola Holmes 2 solves the mystery of how to make a satisfying sequel -- and makes it look positively elementary."
35,The Birds,1963,94,Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Suzanne Pleshette, Jessica Tandy","Proving once again that build-up is the key to suspense, Alfred Hitchcock successfully turned birds into some of the most terrifying villains in horror history."
36,Captain Phillips,2013,93,Paul Greengrass,"Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman","Smart, powerfully acted, and incredibly intense, Captain Phillips offers filmgoers a Hollywood biopic done right -- and offers Tom Hanks a showcase for yet another brilliant performance."
37,Spider-Man 2,2004,93,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina","Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original."
38,The Lord of the Rings: The Return of the King,2003,93,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen","Visually breathtaking and emotionally powerful,  The Lord of the Rings - The Return of the King is a moving and satisfying conclusion to a great trilogy."
39,The Meyerowitz Stories (New and Selected),2017,93,Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Emma Thompson",The Meyerowitz Stories (New and Selected) observes the family dynamic through writer-director Noah Baumbach's bittersweet lens and the impressive efforts of a remarkable cast.
40,Hustle,2022,93,Jeremiah Zagar,"Adam Sandler, Juancho Hernangomez, Queen Latifah, Ben Foster","Hustle doesn't have any fancy moves, but it doesn't need them -- Adam Sandler's everyman charm makes this easy layup fun to watch."
41,Cam,2018,93,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid","Smart and suspenseful, CAM is a techno-thriller that's far more than the sum of its salacious parts -- and an outstanding showcase for Madeline Brewer in the leading role."
42,Hush,2016,93,Mike Flanagan,"John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan",Hush navigates the bloody waters of home invasion thrillers and incisive slashers for a contemporary horror puree.
43,Sand Storm,2016,93,Elite Zexer,"Lamis Ammar, Ruba Blal, Hitham Omari, Khadija Al Akel",Sand Storm marks an impressive first feature for debuting writer-director Elite Zexer that offers a perceptive -- and crucial -- look at patriarchal traditions.
44,Glass Onion: A Knives Out Mystery,2022,92,Rian Johnson,"Daniel Craig, Ed Norton, Dave Bautista, Kate Hudson",Glass Onion: A Knives Out Mystery brings back Benoit Blanc for another wildly entertaining mystery rounded out by an outstanding ensemble cast.
45,Skyfall,2012,92,Sam Mendes,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date."
46,Da 5 Bloods,2020,92,Spike Lee,"Delroy Lindo, Jonathan Majors, Clarke Peters, Norm Lewis","Fierce energy and ambition course through Da 5 Bloods, coming together to fuel one of Spike Lee's most urgent and impactful films."
47,American Hustle,2013,92,David O. Russell,"Christian Bale, Bradley Cooper, Jeremy Renner, Amy Adams","Riotously funny and impeccably cast, American Hustle compensates for its flaws with unbridled energy and some of David O. Russell's most irrepressibly vibrant direction."
48,The Bourne Ultimatum,2007,92,Paul Greengrass,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn","The Bourne Ultimatum is an intelligent, finely tuned non-stop thrill ride. Another strong performance from Matt Damon and sharp camerawork from Paul Greengrass make this the finest installment of the Bourne trilogy."
49,El Camino: A Breaking Bad Movie,2019,92,Vince Gilligan,"Aaron Paul, Matt L. Jones, Charles Baker","Entertaining if not essential, El Camino adds a satisfying belated coda to the Breaking Bad story -- led by a career-best performance from Aaron Paul."
50,We the Animals,2018,92,Jeremiah Zagar,"Raúl Castillo, Sheila Vand, Evan Rosado, Isaiah Kristian","Dreamlike and haunting, We the Animals approaches the coming-of-age odyssey with a uniquely documentarian eye."
51,The Little Prince,2015,92,Mark Osborne,"Jeff Bridges, Rachel McAdams, James Franco, Marion Cotillard","Beautifully animated and faithful to the spirit of its classic source material, The Little Prince is a family-friendly treat that anchors thrilling visuals with a satisfying story."
52,Roald Dahl's Matilda the Musical,2022,92,Matthew Warchus,"Alisha Weir, Emma Thompson, Lashana Lynch, Stephen Graham","Roald Dahl's Matilda the Musical brings the classic story back to the screen with a delightful Emma Thompson, dazzling dancing, and a suitably irascible take on the source material."
53,Rocky,1976,92,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burgess Meredith, Burt Young","This story of a down-on-his-luck boxer is thoroughly predictable, but Sylvester Stallone's script and stunning performance in the title role brush aside complaints."
54,Set It Up,2018,92,Claire Scanlon,"Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs","Set It Up follows the long-established outlines of the rom-com template -- and in the process, proves there's still substantial pleasure to be wrought from familiar formulas."
55,Parenthood,1989,92,Ron Howard,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards","Bolstered by a delightful cast, Parenthood is a funny and thoughtfully crafted look at the best and worst moments of family life that resonates broadly."
56,Mindhorn,2016,92,Sean Foley,"Julian Barratt, Essie Davis, Andrea Riseborough, Harriet Walter","Led by a committed performance from Julian Barratt, Mindhorn offers audiences a laugh-out-loud comedy whose sublime silliness is enhanced by its more thoughtful moments."
57,1922,2017,92,Zak Hilditch,"Thomas Jane, Neal McDonough, Molly Parker, Brian d'Arcy James","Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane, 1922 ranks among the more satisfying Stephen King adaptations."
58,Uncorked,2020,92,Prentice Penny,"Mamoudou Athie, Courtney B. Vance, Niecy Nash, Sasha Compère","Like a good wine, once you let Uncorked breathe, its heartfelt tenderness will yield a sweet time."
59,La La Land,2016,91,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt","La La Land breathes new life into a bygone genre with thrillingly assured direction, powerful performances, and an irresistible excess of heart."
60,Phantom Thread,2017,91,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford","Phantom Thread's finely woven narrative is filled out nicely by humor, intoxicating romantic tension, and yet another impressively committed performance from Daniel Day-Lewis."
61,The Nice Guys,2016,91,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",The Nice Guys hearkens back to the buddy comedies of a bygone era while adding something extra courtesy of a knowing script and the irresistible chemistry of its leads.
62,Zero Dark Thirty,2012,91,Kathryn Bigelow,"Jessica Chastain, Jason Clarke, Joel Edgerton, Jennifer Ehle","Gripping, suspenseful, and brilliantly crafted, Zero Dark Thirty dramatizes the hunt for Osama bin Laden with intelligence and an eye for detail."
63,The Lord of the Rings: The Fellowship of the Ring,2001,91,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen","Full of eye-popping special effects, and featuring a pitch-perfect cast, The Lord of the Rings: The Fellowship of the Ring brings J.R.R. Tolkien's classic to vivid life."
64,Philomena,2013,91,Stephen Frears,"Judi Dench, Steve Coogan, Michelle Fairley, Barbara Jefford","Based on a powerful true story and led by note-perfect performances from Judi Dench and Steve Coogan, Philomena offers a profoundly affecting drama for adult filmgoers of all ages."
65,The White Tiger,2021,91,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas, Vedant Sinha","Well-acted and beautifully made, The White Tiger distills the strengths of its source material into a grimly compelling drama."
66,Beasts of No Nation,2015,91,Cary Joji Fukunaga,"Idris Elba, Abraham Attah, Opeyemi Fagbohungbe, Kurt Egyiawan","Beasts of No Nation finds writer-director Cary Fukunaga working with a talented cast to offer a sobering, uncompromising, yet still somehow hopeful picture of war's human cost."
67,High Flying Bird,2019,91,Steven Soderbergh,"André Holland, Zazie Beetz, Bill Duke, Sonja Sohn",High Flying Bird takes a thoughtful and engrossing look at professional sports that sees Steven Soderbergh continuing to test the limits of new filmmaking technology.
68,Apollo 10 1/2: A Space Age Childhood,2022,91,Richard Linklater,"Jack Black, Bill Wise, Lee Eddy, Milo Coy","The sweetly nostalgic Apollo 10 1/2: A Space Age Childhood finds Richard Linklater reusing visual and thematic ingredients in a deeply personal, freshly inspired way."
69,Happy as Lazzaro,2018,91,Alice Rohrwacher,"Adriano Tardiolo, Alba Rohrwacher, Agnese Graziani, Tommaso Ragno",Happy as Lazzaro uses a friendship's ups and downs as a satisfyingly expansive canvas for a picture rich with thematic and cinematic depth.
70,Full Metal Jacket,1987,91,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey","Intense, tightly constructed, and darkly comic at times, Stanley Kubrick's Full Metal Jacket may not boast the most original of themes, but it is exceedingly effective at communicating them."
71,Gerald's Game,2017,91,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken",Carla Gugino carries Gerald's Game's small-scale suspense with a career-defining performance.
72,When Harry Met Sally...,1989,91,Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby","Rob Reiner's touching, funny film set a new standard for romantic comedies, and he was ably abetted by the sharp interplay between Billy Crystal and Meg Ryan."
73,The Willoughbys,2020,91,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews","An appealing animated adventure whose silliness is anchored in genuine emotion, The Willoughbys offers fanciful fun the entire family can enjoy."
74,National Lampoon's Animal House,1978,91,John Landis,"John Belushi, Kevin Bacon, Donald Sutherland, Karen Allen","The talents of director John Landis and Saturday Night Live's irrepressible John Belushi conspired to create a rambunctious, subversive college comedy that continues to resonate."
75,Up in the Air,2009,90,Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman","Led by charismatic performances by its three leads, director Jason Reitman delivers a smart blend of humor and emotion with just enough edge for mainstream audiences."
76,The Imitation Game,2014,90,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear","With an outstanding starring performance from Benedict Cumberbatch illuminating its fact-based story, The Imitation Game serves as an eminently well-made entry in the ""prestige biopic"" genre."
77,Minority Report,2002,90,Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
78,Spider-Man,2002,90,Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco","Not only does Spider-Man provide a good dose of web-swinging fun, it also has a heart, thanks to the combined charms of director Sam Raimi and star Tobey Maguire."
79,The Two Popes,2019,90,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín, Sidney Cole","Led by outstanding performances from its well-matched leads, The Two Popes draws absorbing drama from a pivotal moment in modern organized religion."
80,The Kindergarten Teacher,2018,90,Sara Colangelo,"Maggie Gyllenhaal, Gael García Bernal, Michael Chernus, Anna Baryshnikov","Elevated by a bravura performance from Maggie Gyllenhaal, The Kindergarten Teacher is one American remake that retains its impact the second time around."
81,Reservoir Dogs,1992,90,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn","Thrumming with intelligence and energy, Reservoir Dogs opens Quentin Tarantino's filmmaking career with hard-hitting style."
82,On Body and Soul,2017,90,Ildikó Enyedi,"Géza Morcsányi, Alexandra Borbély, Zoltán Schneider, Ervin Nagy","Tender performances and a strong sense of style combine to create an eccentric, dreamy portrait of love and loneliness in On Body and Soul."
83,The Bridges of Madison County,1995,90,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak","Sentimental, slow, schmaltzy, and very satisfying, The Bridges of Madison County finds Clint Eastwood adapting a bestseller with heft, wit, and grace."
84,The Trial of the Chicago 7,2020,89,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen, Jeremy Strong","An actors' showcase enlivened by its topical fact-based story, The Trial of the Chicago 7 plays squarely -- and compellingly -- to Aaron Sorkin's strengths."
85,Zombieland,2009,89,Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin","Wickedly funny and featuring plenty of gore, Zombieland is proof that the zombie subgenre is far from dead."
86,The Ballad of Buster Scruggs,2018,89,Joel Coen,"Tim Blake Nelson, Willie Watson, David Krumholtz, James Franco",The Ballad of Buster Scruggs avoids anthology pitfalls with a consistent collection tied together by the Coen brothers' signature blend of dark drama and black humor.
87,All Quiet on the Western Front,2022,90,Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus","Both timely and timeless, All Quiet on the Western Front retains the power of its classic source material by focusing on the futility of war."
88,Always Be My Maybe,2019,89,Nahnatchka Khan,"Ali Wong, Randall Park, Keanu Reeves, Michelle Buteau","Carried by the infectious charms of Ali Wong and Randall Park, Always Be My Maybe takes familiar rom-com beats and cleverly layers in smart social commentary to find its own sweet groove."
89,I Am Mother,2019,89,Grant Sputore,"Hilary Swank, Clara Rugaard, Rose Byrne, Tahlia Sturzaker","Suspenseful, well-acted, and intelligent, I Am Mother is an ambitious sci-fi story that largely achieves its impressive aims."
90,I Don't Feel at Home in This World Anymore,2017,89,Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow, Jane Levy","I don't feel at home in this world anymore. transcends its unwieldy title to offer timely, intoxicatingly dark observations on gender dynamics and social norms in modern America."
91,Paddleton,2019,89,Alexandre Lehmann,"Mark Duplass, Ray Romano, Marguerite Moreau, Christine Woods","It takes its time coming together, but the quietly effective Paddleton pulls off a tricky tonal balancing act, thanks largely to the strengths of its well-chosen leads."
92,Rango,2011,88,Gore Verbinski,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty","Rango is a smart, giddily creative burst of beautifully animated entertainment, and Johnny Depp gives a colorful vocal performance as a household pet in an unfamiliar world."
93,The Bad Guys,2022,88,Pierre Perifel,"Sam Rockwell, Zazie Beetz, Marc Maron, Awkwafina","Fast-paced, funny, and full of colorful visual appeal, The Bad Guys is good news for audiences seeking options the whole family can enjoy."
94,Dope,2015,88,Rick Famuyiwa,"Shameik Moore, Tony Revolori, Kiersey Clemons, Kimberly Elise","Featuring a starmaking performance from Shameik Moore and a refreshingly original point of view from writer-director Rick Famuyiwa, Dope is smart, insightful entertainment."
95,Oxygen,2021,88,Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Marc Saez","Oxygen gets the white-knuckle maximum out of its claustrophobic setting, with director Alexandre Aja and star Mélanie Laurent making this a must-watch thriller for sci-fi fans."
96,Fear Street Part Three: 1666,2021,88,Leigh Janiak,"Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Welch",Fear Street Part Three: 1666 sends the slasher series back in time for a trilogy-concluding installment that caps things off on a screaming high note.
97,Donnie Brasco,1997,88,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby","A stark, nuanced portrait of life in organized crime, bolstered by strong performances from Al Pacino and Johnny Depp."
98,Inception,2010,87,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
99,American Beauty,1999,87,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley","Flawlessly cast and brimming with dark, acid wit, American Beauty is a smart, provocative high point of late '90s mainstream Hollywood film."
100,Kung Fu Panda,2008,87,John Stevenson,"Jack Black, Angelina Jolie, Jackie Chan, David Cross","Kung Fu Panda has a familiar message, but the pleasing mix of humor, swift martial arts action, and colorful animation makes for winning Summer entertainment."
