Title,rate,Year,certificate,genre,rate,story,director,votes count
WWE 2K22,25.,(2022 Video Game),T,"
Action, Sport            ",7.5,"
WWE 2K22 is a professional wrestling video game developed by Visual Concepts and published by 2K Sports. It is the twenty-second overall installment of the video game series based on WWE, ...                See full summary »
","
            
    Stars:
Michael Coulthard, 
Matt Polinsky, 
Bryan J. Kelly, 
Drew Gulak
    ",336
Gran Turismo 7,26.,(2022 Video Game),E,"
Sport            ",7.2,"
25 years after the release of the first title, Gran Turismo 7 brings all of the series best features as well as a myriad of improvements for the ultimate GT experience.","
    ",325
The Stanley Parable: Ultra Deluxe,27.,(2022 Video Game),E10+,"
Adventure, Comedy, Fantasy            ",8.8,"
An expansion to the original game with more content, more endings, more whimsical adventures of the two best friends Stanley and The Narrator.","
            
    Stars:
Kevan Brighting, 
Lesley Staples, 
Aviva Pinchas, 
Alex Hirsch
    ",311
Evil Dead: The Game,28.,(2022 Video Game),M,"
Action, Fantasy, Horror            ",8.3,"
Step into the shoes of Ash Williams or his friends from the iconic Evil Dead franchise and work together in a game loaded with over-the-top co-op and PVP multiplayer action.","
    Directors:
Jesús Iglesias, 
Jason O'Connell
                 | 
    Stars:
Bruce Campbell, 
Betsy Baker, 
Ellen Sandweiss, 
Richard DeManincor
    ",309
Kirby and the Forgotten Land,29.,(2022 Video Game),E10+,"
Action, Adventure, Family            ",8.3,"
Join the powerful pink puffball, Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure.","
    Directors:
Tatsuya Kamiyama, 
Shinya Kumazaki
                 | 
    Stars:
Makiko Ômoto, 
Kurumi Mamiya, 
Kenta Miyake, 
Minami Takayama
    ",305
Sonic Frontiers,30.,(2022 Video Game),E10+,"
Action, Adventure, Family            ",7.7,"
After Doctor Eggman's attempts to control an ancient technology go wrong, Sonic sets out to rescue his friends and learn the true nature of the technology.","
    Director:
Morio Kishimoto
                 | 
    Stars:
Roger Craig Smith, 
Colleen O'Shaughnessey, 
Dave B. Mitchell, 
Cindy Robinson
    ",303
Scorn,31.,(2022 Video Game),M,"
Action, Horror, Sci-Fi            ",6.4,"
Scorn is an atmospheric first-person horror adventure game set in a nightmarish universe of odd forms and somber tapestry.","
    ",271
GhostWire: Tokyo,32.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",7.1,"
A massive paranormal event causes the sudden disappearance of 99% of the population while spirits from Japanese folklore storm Tokyo. Players will harness paranormal abilities to solve the mystery of the disappearances and save the city.","
    Director:
Kenji Kimura
                 | 
    Stars:
Kensuke Nishi, 
Kazuhiko Inoue, 
Asami Seto, 
Shunsuke Sakuya
    ",257
Immortality,33.,(2022 Video Game),M,"
Mystery            ",8.4,"
Marissa Marcel was a film star. She made three movies. But none of the movies were ever released. And Marissa Marcel disappeared. An interactive trilogy from Sam Barlow, creator of Her Story.","
    Director:
Sam Barlow
                 | 
    Stars:
Natasha Blasick, 
Hans Christopher, 
Cesar D' La Torre, 
Timothy Lee DePriest
    ",237
Cuphead: The Delicious Last Course,34.,(2022 Video Game),E10+,"
Animation, Action, Adventure            ",8.9,"
The two brothers, Cuphead and Mugman are joined by Ms. Chalice for a DLC add-on adventure on a brand new island. Are you ready to take on a new cast of multi-faceted, screen-filling bosses to assist Chef Saltbaker in Cuphead's final challenging quest?","
    Directors:
Chad Moldenhauer, 
Jared Moldenhauer
                 | 
    Stars:
Luke de Ayora, 
Luke Hatton, 
Sara Secora
    ",228
Return to Monkey Island,35.,(2022 Video Game),T,"
Adventure, Comedy            ",8.3,"
Return to Monkey Island is an unexpected, thrilling return of series creator Ron Gilbert that continues the story of the legendary adventure games.","
            
    Stars:
Dominic Armato, 
Alexandra Boyd, 
Jess Harnell, 
Denny Delk
    ",209
Diablo Immortal,36.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",2.9,"
The Worldstone lies shattered, yet great power remains within its corrupted fragments. Power that Diablo's minions hope to harness to bring about the return of the Lord of Terror.","
            
    Stars:
Peter Jessop, 
Tommie Earl Jenkins, 
Earl Fisher, 
Debra Wilson
    ",206
Midnight Suns,37.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",8.5,"
Set in the darker side of the Marvel Universe, putting you face-to-face against demonic forces of the underworld as you team up with and live among the Midnight Suns, Earth's last line of defense.","
    Directors:
Chad Rocco, 
Jacob Solomon
                 | 
    Stars:
Elizabeth Grullon, 
Matthew Mercer, 
Rick Pasqualone, 
Michael Jai White
    ",192
Martha is Dead,38.,(2022 Video Game),M,"
Adventure, Drama, Horror            ",7.0,"
""Martha is Dead"" is a dramatic psychological thriller, of gloomy and dreamlike tones, a mix of history, superstition and psychological distress.","
    Director:
Luca Dalcò
                 | 
    Stars:
Annie Warburton, 
Honor Davis-Pye, 
Udo Kier, 
Victoria Watkins
    ",183
Pokémon Scarlet,39.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",6.6,"
""Welcome to the Paldea Region! Become a Trainer in Uva Academy and try to beat out the other team in Pokémon's first ever fully open world game! Use new Pokémon like Smoliv, Pawmi, and ...                See full summary »
","
    Director:
Shigeru Ohmori
    ",181
Xenoblade Chronicles 3,40.,(2022 Video Game),T,"
Action, Adventure, Drama            ",9.0,"
In the world of Aionios, two nations are locked in conflict: Keves, a technological powerhouse and Agnus, a magic-based society. Six soldiers hailing from these nations, will take part in a grand tale with life as its central theme.","
    Directors:
Ko Kojima, 
Genki Yokota, 
Tetsuya Takahashi
                 | 
    Stars:
Ryôhei Arai, 
Minami Tsuda, 
Kohsuke Tanabe, 
Ryohei Kimura
    ",178
Destiny 2: The Witch Queen,41.,(2022 Video Game),T,"
Action            ",8.1,"
Take back the light from Savathûn in an all-new story.","
    Director:
Luke Smith
                 | 
    Stars:
Allyson Kulavis, 
April Stewart, 
Bill Nighy, 
Brandon O'Neill
    ",175
Tom Clancy's Rainbow Six Extraction,42.,(2022 Video Game),M,"
Action, Adventure, Crime            ",5.2,"
For decades, Team Rainbow has been the shield against the worst global threats imaginable: hostage situations, biological weapons, the threat of nuclear war.","
    Director:
Patrick Methe
                 | 
    Stars:
Shawn Baichoo, 
Jose Meilán, 
Carolina Bartczak, 
Marc-André Brunet
    ",171
Resident Evil Village: Shadows of Rose,43.,(2022 Video Game),,"
Action, Adventure, Horror            ",7.5,"
Fifteen years after the events of Resident Evil: Village, Rosemary Winters, daughter of Ethan and Mia Winters, enters the consciousness of the Megamycete in search of a way to remove her ...                See full summary »
","
    Director:
Kento Kinoshita
                 | 
    Stars:
Jeannie Tirado, 
Todd Soley, 
Paula Rhodes, 
Michelle Lukes
    ",169
Pokémon Violet,44.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",6.5,"
The player visits the Naranja or Uva Academy in time for the annual Treasure Hunt, where the rival character, Nemona, encourages the player to explore Paldea and find their own treasure.","
    ",168
Sniper Elite 5,45.,(2022 Video Game),M,"
Action, History, War            ",7.0,"
In Sniper Elite 5, the player once again assumes control of Karl Fairburne, an elite sniper from the Allied Powers who journeys to France in 1944 to destroy a secret Nazi project known as ""Project Kraken.""","
            
    Stars:
Tom Clarke Hill, 
Wolf Kahler, 
Lois Chimimba, 
Joseph Balderrama
    ",166
Trek to Yomi,46.,(2022 Video Game),M,"
Action, Adventure, Fantasy            ",7.0,"
Experience an enthralling story of a Samurai named Hiroki during his fall against the forces of evil and heroic return to make good on his failed promise to save the people he swore to protect.","
    Director:
Leonard Menchiari
                 | 
    Stars:
Masayuki Katô, 
Kajita Daishi, 
Hiroshi Shirokuma, 
Akio Ôtsuka
    ",165
Grand Theft Auto Online,47.,(2022 Video Game),M,"
Action, Crime, Drama            ",6.7,"
Begin your criminal career committing robbery, murder, and mayhem in Los Santos in the long-awaited standalone release of Grand Theft Auto Online complete with more than 40 of the DLC missions and packages.","
    Director:
Leslie Benzies
                 | 
    Stars:
Anderson .Paak, 
Timothy Adams, 
Tunde Adebimpe, 
Gui Agustini
    ",156
Disney Dreamlight Valley,48.,(2022 Video Game),E,"
Adventure, Family, Fantasy            ",8.5,"
Disney Dreamlight Valley is a hybrid between a life-sim and an adventure game rich with quests, exploration, and engaging activities featuring Disney and Pixar friends, both old and new.","
    Director:
Nicholas Mainville
                 | 
    Stars:
Ashley Adler, 
Tim Allen, 
Tony Anselmo, 
Christopher Daniel Barnes
    ",150
Shadow Warrior 3,49.,(2022 Video Game),M,"
Action, Adventure, Comedy            ",6.5,"
Shadow Warrior 3 launches the offbeat first-person shooter series to the next level with a seamless blend of fast-paced gunplay, razor-sharp melee combat, and a spectacular free-running movement system.","
    Director:
Walter Gray IV
                 | 
    Stars:
Mike Moh, 
Alex Dobrenko, 
SungWon Cho, 
Andromeda Dunker
    ",140
Tunic,50.,(2022 Video Game),E10+,"
Action, Adventure, Fantasy            ",7.5,"
Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure. Stranded on a mysterious beach, ...                See full summary »
","
    ",136
Bayonetta 3,51.,(2022 Video Game),M,"
Action, Adventure, Fantasy            ",8.2,"
After a daring fight with Balder causing time itself to split, Bayonetta must team up with her past self in order to set things straight.","
    Directors:
Yusuke Miyata, 
Hideki Kamiya
                 | 
    Stars:
Jennifer Hale, 
Grey Griffin, 
Anna Brisbin, 
Yuri Lowenthal
    ",129
Syberia: The World Before,52.,(2022 Video Game),,"
Adventure, Drama, Fantasy            ",7.3,"
Kate Walker survives as best she can in the salt mine where she has been imprisoned, when a tragic event propels her into a new adventure in search of her identity.","
    Directors:
Remi Brun, 
Christophe Cheul, 
Emmanuel Gorinstein, 
Lucas Lagravette, 
Benoît Sokal
                 | 
    Stars:
Sharon Mann, 
Emilie Rault, 
Mark Jane, 
Florian Hutter
    ",118
Evil West,53.,(2022 Video Game),,"
Action, Adventure, Fantasy            ",7.3,"
Fight with style in visceral, explosive combat against bloodthirsty monstrosities and become a Wild West Superhero.","
    Director:
Michal Szustak
                 | 
    Stars:
Derek Hagen, 
Damian Lynch, 
Brian Protheroe, 
Antonia Bernath
    ",117
Cult of the Lamb,54.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",7.7,"
In a land of false prophets, a lamb is sacrificed to four heretic prophets. Upon dying, the lamb is brought before and revived by ""The One Who Waits"", a strange deity that tasks the lamb with starting a cult in its name.","
            
    Stars:
William Mesilane, 
Julian Wilton, 
Narayana Johnson, 
Jay Armstrong
    ",110
Bendy and the Dark Revival,55.,(2022 Video Game),T,"
Horror            ",8.1,"
Audrey is an animator working at Joey Drew Studios. After being taken by a mysterious man named Wilson, who claims to have vanquished the Ink Demon 211 days before, she finds herself in an inky form in the world of the ink machine. Audrey must now navigate the studio, ally with iconic cartoon characters such as a hardened Alice, a tough Boris, and even a 'perfect' Bendy. And she must learn to ...                See full summary »
","
            
    Stars:
Erin Lehn, 
Tim Simmons, 
Dave Rivas, 
Lauren Synger
    ",109
Pentiment,56.,(2022 Video Game),M,"
History, Mystery            ",8.7,"
In 16th century Bavaria, Andreas Maler, a master artist finds himself caught in the middle of murders, scandals, and intrigue.","
    Director:
Josh Sawyer
    ",107
Crisis Core: Final Fantasy VII Reunion,57.,(2022 Video Game),T,"
Action, Adventure, Drama            ",8.3,"
Remaster of Crisis Core: Final Fantasy VII (2007) featuring updated graphics, combat systems and soundtrack. Follow the tale of SOLDIER operative Zack Fair, as he discovers the secrets of Shinra's dark experiments.","
    Director:
Hajime Tabata
                 | 
    Stars:
Kenichi Suzumura, 
Maaya Sakamoto, 
Takahiro Sakurai, 
Junpei Morita
    ",104
Triangle Strategy,58.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",8.8,"
In a country that relies highly on trade integrity, Serenoa Wolffort, heir to the throne of House Wolffort, must make difficult decisions after a kingdom makes a surprise attack against his homeland of Glenbroke.","
    Director:
Kazuya Miyakawa
                 | 
    Stars:
Shai Matheson, 
Alan Lee, 
Adam Harrington, 
Emma Ballantine
    ",103
Nintendo Switch Sports,59.,(2022 Video Game),E10+,"
Action, Adventure, Sport            ",6.9,"
Grab a Joy-Con controller and use real-world movements to take part in a variety of sporting activities that'll get your body moving, Gather your friends and family and get ready for some good old Nintendo sports action.","
    Director:
Yoshikazu Yamashita
                 | 
    Stars:
Hikari Kubota, 
Yoriko Marusich, 
Cristina Jauregui, 
Mariana Carneiro
    ",96
Lost Ark,60.,(2022 Video Game),,"
Animation, Action, Adventure            ",6.6,"
Embark on an odyssey for the Lost Ark in a vast, vibrant world: explore new lands, seek out lost treasures, and test yourself in thrilling action combat in this action-packed free-to-play RPG.","
    Director:
Philip Bache
                 | 
    Stars:
Andrew Russell, 
Orion Acaba, 
Zach Aguilar, 
Philip Bache
    ",93
MADiSON,61.,(2022 Video Game),,"
Horror            ",7.9,"
Play as Luca, and endure the brute torture of MADiSON, a demon that has forced him to continue a gory ritual started decades ago, making him commit abominable acts. Will you be able to finish this sinister ceremony?","
    Director:
Alex Di Stefano
                 | 
    Stars:
Jacob Judge, 
Sara Secora, 
Ryan Cooper, 
Shaolin Dave McAlias
    ",93
Splatoon 3,62.,(2022 Video Game),E10+,"
Action, Adventure, Fantasy            ",8.1,"
Enter the Splatlands, a sun-scorched desert inhabited by battle-hardened Inklings and Octolings. Splatsville, the city of chaos, is the adrenaline-fueled heart of this dusty wasteland.","
    Directors:
Yusuke Amano, 
Seita Inoue, 
Shintaro Sato
                 | 
    Stars:
Lashon Byrd, 
Rina Itou, 
Misaki Iwasa, 
Mari Kikuma
    ",90
Aperture Desk Job,63.,(2022 Video Game),,"
Sci-Fi            ",7.8,"
Set in the expanded world of Portal, an entry-level employee on their first day of work is set to test products at a desk equipped with buttons and controls. The product tested is none ...                See full summary »
","
            
    Stars:
J.K. Simmons, 
Nate Bargatze, 
Debra Wilson
    ",89
Stranger of Paradise: Final Fantasy Origin,64.,(2022 Video Game),M,"
Action, Adventure, Fantasy            ",7.1,"
Brought forth into the world of Cornelia, a group led by Jack Garland must face the threats brought by the malevolent Chaos, whose influence threatens to lead them down a dark descent to villainy.","
    Directors:
Daisuke Inoue, 
Nobumichi Kumabe, 
Hiroya Usuda
                 | 
    Stars:
Mocean Melvin, 
Mark A. Neely, 
Alejandro Saab, 
Alejandra Reynoso
    ",85
Fortnite: Chapter 4,65.,(2022 Video Game),,"
Action            ",7.3,"
A new island a whole new game.The new unreal engine 5 provides new graphics that give the game a whole new look.so jump in now and join millions of players playing worldwide.","
            
    Stars:
JB Blanc, 
Damien C. Haas, 
Erica Lindbeck, 
Xander Mobus
    ",85
The Mensional,66.,(2022 Video Game),,"
Action, Adventure, Mystery            ",7.3,"
Adventures of different characters with their unique atmosphere and puzzles.","
    ",81
Metal: Hellsinger,67.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",7.1,"
Metal: Hellsinger is a rhythm FPS, where your ability to shoot on the beat will enhance your gameplay experience.","
    Directors:
Shila Vikström, 
David Goldfarb
                 | 
    Stars:
Troy Baker, 
Jennifer Hale
    ",80
New Tales from the Borderlands,68.,(2022 Video Game),M,"
Adventure            ",6.4,"
Set about a year after Borderlands 3, weapon manufacturer Tediore has begun invading the planet Promethea. Anuradha Dhar, Octavio Wallace-Dhar and Francine Miscowicz, each with their own ...                See full summary »
","
    Director:
Paul Furminger
                 | 
    Stars:
Adam Kirschner, 
Anthony Demare, 
Austin Siever, 
Brad Swaile
    ",79
GRID Legends,69.,(2022 Video Game),E10+,"
Sport            ",7.3,"
Grid Legends is the fifth installment in the Grid franchise.","
    Director:
Christopher Tudor-Smith
                 | 
    Stars:
Callum McGowan, 
Joseph Millson, 
Miles Yekinni, 
Stephen Lord
    ",79
Need for Speed Unbound,70.,(2022 Video Game),T,"
Action, Adventure, Sport            ",7.3,"
Race to the top, definitely don't flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides and light up the streets with your style.","
    Director:
Kieran Crimmins
                 | 
    Stars:
A$AP Rocky, 
Ashleigh LaThrop, 
Dwayne Barnes, 
Elizabeth Grullon
    ",76
Choo-Choo Charles,71.,(2022 Video Game),M,"
Action, Adventure, Comedy            ",8.5,"
Choo-Choo Charles is a horror game that puts the player to escape from a killer train. The train is a bizarre mix between a locomotive and a giant spider.","
    Director:
Gavin Eisenbeisz
                 | 
    Stars:
Kevin Clay, 
Giordan Diaz, 
C.J. Ellis, 
Daisy Rose
    ",76
Mario Strikers: Battle League,72.,(2022 Video Game),E10+,"
Action, Fantasy, Sport            ",6.6,"
The characters from the Super Mario world come together once more to clash in the soccer field! In here chaos reigns! Create or customize the best soccer team to become the champions!","
    Director:
Devon Blanchet
                 | 
    Stars:
Charles Martinet, 
Samantha Kelly, 
Kenny James, 
Takashi Nagasako
    ",76
Madden NFL 23,73.,(2022 Video Game),E,"
Sport            ",4.7,"
Play your way into the history books. Control your impact with every decision in all-new ways. Call the shots in Franchise with free agency and trade logic updates, leave a legacy in Face ...                See full summary »
","
            
    Stars:
Keyon Harrell, 
Amy Rutledge
    ",74
Sonic Origins,74.,(2022 Video Game),E,"
Animation, Action, Adventure            ",7.8,"
Relive the classic adventures of Sonic the Hedgehog, Sonic the Hedgehog 2, Sonic 3 and Knuckles, and Sonic CD in this new remaster.","
    Directors:
Brady Hartel, 
Tyson Hesse
    ",74
A Memoir Blue,75.,(2022 Video Game),,"
Drama, Family            ",6.1,"
From Cloisters Interactive, A Memoir Blue is an interactive poem about a superstar athlete and the all-encompassing love between mother and daughter. A unique aesthetic combining hand-drawn...                See full summary »
","
    ",72
NBA 2K23,76.,(2022 Video Game),,"
Sport            ",6.6,"
Rise to the occasion in NBA 2K23. Showcase your talent in MyCAREER. Pair All-Stars with timeless legends in MyTEAM. Build your own dynasty in MyGM, or guide the NBA in a new direction with ...                See full summary »
","
    Director:
Christian Papierniak
                 | 
    Stars:
Tyler Antonius, 
Peter Barto, 
Guy Beahm, 
Will Blagrove
    ",68
Yu-Gi-Oh! Master Duel,77.,(2022 Video Game),T,"
Action            ",7.6,"
The definitive edition of the competitive card game that has been evolving for over 20 years. Dueling at its highest level awaits you. Are you ready to enter the ultimate battle?","
    Director:
Kenichi Kataoka
    ",66
Fire Emblem Warriors: Three Hopes,78.,(2022 Video Game),T,"
Action, Adventure, Fantasy            ",7.9,"
On the continent of Fódlan, Shez, a mercenary seeking a rematch against the feared mercenary known as the Ashen Demon, becomes involved with the students of the Officers Academy just as war, as well the fated rematch, begins.","
    Director:
Hayato Iwata
                 | 
    Stars:
Tasuku Hatanaka, 
Miyu Tomita, 
Mutsumi Tamura, 
Yûsuke Kobayashi
    ",65
Marvel Snap,79.,(2022 Video Game),,"
Action, Fantasy, Sci-Fi            ",8.1,"
A card video game based on Marvel Comics.","
            
    Stars:
Rex Anderson, 
Samuel L. Jackson, 
Dylan Jones, 
Danny Kramer
    ",65
The Mortuary Assistant,80.,(2022 Video Game),,"
Horror            ",7.6,"
Over the past several months, you have heard rumors of families bringing their deceased loved ones believed to be possessed to this specific mortuary to put to rest. Late one night, the Mortician calls. The rumors are true.","
    Director:
Brian Clarke
                 | 
    Stars:
Melissa Medina, 
Matthew Curtis, 
Adam Bennett, 
Autumn Ivy
    ",58
